en,de
Tom regarded John with a wary eye.,Tom sah Johannes argwöhnisch an.
Tom reminisced about the old days.,Tom schwelgte in Erinnerungen an die alte Zeit.
Tom resembles his father somewhat.,Tom ähnelt etwas seinem Vater.
Tom returned with a huge suitcase.,Tom kam mit einem riesigen Koffer wieder.
Tom saddled and bridled the horse.,Tom sattelte und zäumte das Pferd.
Tom said he hadn't known about it.,"Tom sagte, dass er nichts davon gewusst habe."
Tom said he just needed more time.,"Tom sagte, er brauche einfach nur mehr Zeit."
Tom said he left his keys at home.,"Tom sagte, er habe seine Schlüssel zu Hause gelassen."
Tom said he walked home yesterday.,"Tom hat gesagt, er sei gestern nach Hause gelaufen."
Tom said he was in love with Mary.,"Tom sagte, er sei in Maria verliebt."
Tom said his job was a lot of fun.,"Tom sagte, seine Arbeit mache ihm sehr viel Spaß."
Tom said nothing about that to me.,Tom hat mir nichts davon gesagt.
Tom said that Mary was very tired.,"Tom sagte, Maria sei sehr müde."
Tom said that he couldn't breathe.,"Tom sagte, er könne nicht atmen."
Tom said that he was ambidextrous.,"Tom sagte, dass er Beidhänder sei."
Tom said that he'd call you later.,"Tom sagt, dass er dich später anruft."
Tom said that no one was arrested.,"Tom sagte, niemand sei festgenommen worden."
Tom said that nobody was arrested.,"Tom sagte, dass niemand festgenommen worden sei."
Tom said that you'd be here today.,"Tom sagte, dass du heute hier wärst."
Tom said you'd be able to help me.,"Tom sagte, du könntest mir helfen."
Tom sat cross-legged on the couch.,Tom saß im Schneidersitz auf dem Sofa.
Tom sat down at one of the tables.,Tom setzte sich an einen der Tische.
Tom sat down on one of the chairs.,Tom setzte sich auf einen der Stühle.
Tom sat next to Mary at the piano.,Tom setzte sich neben Maria an das Klavier.
Tom sat on the bench next to Mary.,Tom saß neben Maria auf der Bank.
Tom sat on the grass next to Mary.,Tom setzte sich neben Maria auf den Rasen.
Tom saw a small herd of elephants.,Tom sah eine kleine Herde Elefanten.
Tom says Mary often speaks French.,Tom zufolge spricht Maria oft Französisch.
Tom says he didn't have insurance.,"Tom sagt, er sei nicht versichert."
Tom says he wants to go to Boston.,"Tom sagt, er will nach Boston gehen."
Tom says that he plans to do that.,"Tom sagte, dass er das vorhat."
Tom scratched the back of his leg.,Tom kratzte sich hinten am Bein.
Tom seemed kind of upset about it.,Tom schien deswegen recht aufgebracht.
Tom seemed to be hiding something.,Tom schien etwas zu verbergen.
Tom seemed to have recognized you.,Tom schien dich erkannt zu haben.
Tom seemed to want something more.,Tom schien darüber hinaus noch etwas zu wollen.
Tom seems more annoyed than angry.,Tom scheint eher genervt als wütend.
Tom seems to be busy all the time.,Tom scheint ständig beschäftigt zu sein.
Tom seems to like studying French.,Tom scheint gerne Französisch zu lernen.
Tom seems to like teaching French.,Tom scheint gerne Französischstunden zu geben.
Tom seldom speaks to Mary anymore.,Tom spricht nur noch selten mit Mary.
Tom served the guests finger food.,Tom servierte den Gästen einige Appetithappen.
Tom should be charged with murder.,Tom sollte wegen Mordes angeklagt werden.
Tom should be used to this by now.,Inzwischen sollte Tom daran gewöhnt sein.
"Tom should win this race, I think.","Tom sollte dieses Rennen gewinnen, glaube ich."
Tom should've done that weeks ago.,Tom hätte das vor Wochen tun sollen.
Tom shouldn't be allowed to drive.,Tom sollte nicht fahren dürfen.
Tom shouldn't have told Mary that.,Das hätte Tom Maria nicht sagen sollen.
Tom showed Mary around the school.,Tom zeigte Maria die Schule.
Tom signed up for a pottery class.,Tom meldete sich bei einem Töpferkurs an.
Tom slowly walked down the street.,Tom begab sich langsam die Straße entlang.
Tom sold almost everything he had.,Tom hat fast alle seine Besitztümer verkauft.
Tom solved the problem by himself.,Tom hat das Problem allein gelöst.
Tom sometimes eats in his bedroom.,Manchmal isst Tom in seinem Schlafzimmer.
Tom sometimes makes dinner for us.,Manchmal macht Tom uns Abendessen.
Tom soon realized he wasn't alone.,"Tom bemerkte bald, dass er nicht alleine war."
Tom speaks French as well as Mary.,Tom spricht Französisch genau so gut wie Maria.
Tom speaks French to his teachers.,Tom spricht Französisch mit seinen Lehrerinnen.
Tom spent a lot of time with Mary.,Tom war viel mit Maria zusammen.
Tom spent the afternoon with Mary.,Tom verbrachte den Nachmittag mit Mary.
Tom squatted down next to his dog.,Tom hockte sich neben seinen Hund.
Tom started laughing hysterically.,Tom lachte hysterisch.
Tom started the car and drove off.,Tom startete den Wagen und fuhr davon.
Tom still can't understand French.,Tom versteht immer noch kein Französisch.
Tom still hasn't found a good job.,Tom hat noch keine gute Arbeit gefunden.
"Tom still owes Mary 2,000 dollars.",Tom schuldet Maria noch immer zweitausend Dollar.
Tom stole money from Mary's purse.,Tom hat Geld aus Marys Geldbeutel gestohlen.
Tom stole money from his roommate.,Tom hat seiner Mitbewohnerin Geld gestohlen.
Tom stood up and went to the door.,Tom stand auf und ging zur Tür.
Tom stuck his knife into the tree.,Tom stach sein Messer in den Baum.
Tom stutters when he gets nervous.,"Tom stottert, wenn er nervös wird."
Tom suggested that we go swimming.,"Tom hat vorgeschlagen, schwimmen zu gehen."
Tom talks as if he were a teacher.,"Tom redet, als wäre er Lehrer."
Tom taught himself how to do that.,Tom hat sich das selbst beigebracht.
Tom teaches French to my children.,Tom unterrichtet meine Kinder in Französisch.
Tom thinks he's going to die soon.,"Tom glaubt, er müsse bald sterben."
Tom thinks that he's always right.,"Tom glaubt, dass er immer recht hat."
Tom thinks you need to sleep more.,"Tom findet, du musst mehr schlafen."
Tom thought it was totally normal.,Tom hielt das für völlig normal.
Tom threatened Mary with a pistol.,Tom bedrohte Maria mit einer Pistole.
Tom threw the rotten bananas away.,Tom warf die faulen Bananen weg.
Tom told Mary how he and John met.,"Tom erzählte Maria, wie er und Johannes sich kennengelernt hatten."
Tom told Mary that he loved Alice.,"Tom sagte Maria, dass er Elke liebe."
Tom told me he was glad to see me.,"Tom sagte, er freue sich, mich zu sehen."
Tom told me not to do it this way.,"Tom sagte, ich solle es nicht so machen."
Tom told me that he would help us.,"Tom hat mir gesagt, dass er uns helfen würde."
"Tom told me to do it, so I did it.","Tom sagte mir, ich solle es tun, also tat ich es."
Tom took a bite out of the cookie.,Tom biss etwas von dem Keks ab.
Tom took a shower and went to bed.,Tom duschte und ging schlafen.
Tom took the knife away from Mary.,Tom nahm Maria das Messer weg.
Tom tried to hide his nervousness.,"Tom versuchte, seine Nervosität zu verhehlen."
Tom tried to read Mary's name tag.,"Tom versuchte, Marias Namensschild zu lesen."
Tom turned and walked to the exit.,Tom drehte sich um und begab sich zum Ausgang.
Tom turned red with embarrassment.,Tom errötete verlegen.
Tom urged Mary to be more careful.,"Tom mahnte Mary, vorsichtiger zu sein."
Tom used to enjoy teaching French.,Tom gab gerne Französischunterricht.
Tom used to play tennis with Mary.,Tom hat früher mit Mary Tennis gespielt.
Tom usually doesn't make mistakes.,Tom macht üblicherweise keine Fehler.
Tom usually goes to school by bus.,Tom fährt gewöhnlich mit dem Bus zur Schule.
Tom visited the Colosseum in Rome.,Tom besuchte das Kolosseum in Rom.
Tom walked Mary to the front door.,Tom brachte Maria zur Haustür.
Tom walked by without noticing me.,"Tom schritt vorüber, ohne mich zu bemerken."
Tom walked right into Mary's trap.,Tom ging Maria geradewegs in die Falle.
Tom wanted to know where Mary was.,"Tom wollte wissen, wo Maria war."
Tom wanted to see you immediately.,Tom wollte dich umgehend sehen.
Tom wants me to be his girlfriend.,"Tom will, dass ich seine Freundin werde."
Tom wants to come over after work.,Tom will nach der Arbeit vorbeikommen.
Tom wants to live in this country.,Tom will in diesem Lande leben.
Tom was able to solve the problem.,Tom konnte das Problem lösen.
Tom was afraid of catching a cold.,"Tom hatte Angst, sich zu erkälten."
Tom was attacked by Mary's sister.,Tom wurde von Marias Schwester attackiert.
Tom was beginning to feel awkward.,Es wurde Tom allmählich unangenehm.
Tom was born and raised in Boston.,Tom ist in Boston geboren und aufgewachsen.
Tom was busy texting on his phone.,"Tom war eifrig dabei, Textnachrichten auf seinem Telefon zu verschicken."
Tom was caught stealing a chicken.,Tom wurde beim Hühnerklau erwischt.
Tom was doing that here yesterday.,Tom hat das gestern hier gemacht.
Tom was given a blood transfusion.,Tom erhielt eine Bluttransfusion.
Tom was in Boston three weeks ago.,Tom war vor drei Wochen in Boston.
Tom was in too much pain to speak.,"Tom hatte zu starke Schmerzen, um zu sprechen."
Tom was keeping something from me.,Tom hat mir etwas vorenthalten.
Tom was mauled to death by a bear.,Tom ist von einem Bären zerfleischt worden.
Tom was never the same after that.,Tom war danach nie mehr der Alte.
Tom was only 13 or 14 at the time.,Tom war da gerade einmal dreizehn oder vierzehn Jahre alt.
Tom was raised in a small village.,Tom wuchs in einem kleinen Dorf auf.
Tom was sitting alone in his room.,Tom saß allein auf seinem Zimmer.
Tom was still wearing his costume.,Tom war noch immer kostümiert.
Tom was the first one off the bus.,Tom stieg als erster aus dem Bus.
Tom was the last student to leave.,"Tom war der letzte Student, der wegging."
Tom was the only one in the house.,Tom war der Einzige im Haus.
Tom was too far away to hear Mary.,"Tom war zu weit weg, um Maria zu hören."
Tom was unenthusiastic about that.,Tom war davon wenig begeistert.
Tom was wounded in a street fight.,Tom hat sich bei einem Straßenkampf verletzt.
Tom wasn't able to defend himself.,Tom konnte sich nicht verteidigen.
Tom wasn't able to work last week.,Tom konnte letzte Woche nicht arbeiten.
Tom wasn't invited to the banquet.,Tom war zum Festmahl nicht eingeladen.
Tom wasn't sure he liked the plan.,"Tom war sich nicht sicher, ob ihm der Plan gefiel."
Tom weighs more than thirty kilos.,Tom wiegt mehr als dreißig Kilo.
Tom went into the conference room.,Tom ging ins Sitzungszimmer.
Tom went shopping with his family.,Tom ging mit seiner Familie Einkäufe machen.
Tom went to Boston three days ago.,Tom ist vor drei Tagen nach Boston gegangen.
Tom went to high school in Boston.,Tom ist in Boston zur Schule gegangen.
Tom went to the park to meet Mary.,"Tom ging in den Park, um Mary zu treffen."
Tom went to the theater with Mary.,Tom ist mit Mary ins Theater gegangen.
Tom will arrive in Boston at 2:30.,Tom wird um 2.30 Uhr in Boston ankommen.
Tom will be coming home next week.,Tom kommt nächste Woche nach Hause.
Tom will be very sad if you leave.,"Tom wird sehr traurig sein, wenn du weggehst."
"Tom will do that, I'm pretty sure.",Tom macht das. Da bin ich mir ziemlich sicher.
Tom will find out sooner or later.,Tom wird es früher oder später erfahren.
Tom will go to Boston next summer.,Tom geht nächsten Sommer nach Boston.
Tom will probably be undependable.,Tom wird wahrscheinlich unzuverlässig sein.
Tom will try and stop me for sure.,"Tom wird bestimmt versuchen, mich aufzuhalten."
Tom wishes he had a larger office.,"Tom wünscht sich, er hätte ein größeres Büro."
Tom won't come to today's meeting.,Tom kommt heute nicht zur Sitzung.
Tom wore a yellow tennis headband.,Tom trug ein gelbes Tennisstirnband.
Tom worked very hard all day long.,Tom hat sich den ganzen Tag abgerackert.
Tom works at a meat packing plant.,Tom arbeitet in einer Fleischfabrik.
Tom works for an animal sanctuary.,Tom arbeitet im Tierheim.
Tom would like to make more money.,Tom möchte noch mehr Geld verdienen.
Tom would probably have done that.,Tom hätte das wahrscheinlich getan.
Tom wouldn't like it in Australia.,Tom gefiele es in Australien nicht.
Tom's French is really quite good.,Tom spricht wirklich ziemlich gut Französisch.
Tom's alibi has been corroborated.,Toms Alibi ist bekräftigt worden.
Tom's car was towed by the police.,Toms Wagen wurde von der Polizei abgeschleppt.
"Tom's clothes were old, but clean.","Toms Kleidung war zwar alt, doch rein."
Tom's constant politeness bugs me.,Toms ständige Höflichkeit geht mir auf die Nerven.
Tom's daughter is getting married.,Toms Tochter heiratet bald.
Tom's dog was run over by a truck.,Toms Hund wurde von einem Laster überfahren.
Tom's explanation was interesting.,Toms Erklärung war interessant.
Tom's girlfriend is really pretty.,Toms Freundin ist supersüß.
Tom's heart is in the right place.,Tom hat das Herz am rechten Fleck.
Tom's house is just over the hill.,Toms Haus ist gerade mal über dem Hügel.
Tom's job was outsourced to China.,Toms Arbeitsplatz wurde nach China ausgelagert.
Tom's mother is a devout Catholic.,Toms Mutter ist fromme Katholikin.
Tom's parents are older than mine.,Toms Eltern sind älter als meine.
Tom's parents died in an accident.,Toms Eltern kamen bei einem Unfall ums Leben.
Tom's really enjoying his new job.,Tom genießt seine neue Arbeit in vollen Zügen.
Tom's train left five minutes ago.,Toms Zug ist vor fünf Minuten abgefahren.
"Tom, I have something to tell you.","Tom, ich muss dir etwas sagen."
"Tom, Mary already has a boyfriend.","Tom, Maria hat schon einen Freund."
Too bad you have to leave already.,"Wie schade, dass du schon gehen musst."
Try thinking about something else.,"Versuche, an etwas anderes zu denken!"
Try to make the most of your time.,"Versuche, deine Zeit so gut wie möglich zu nutzen."
Two criminals escaped from prison.,Zwei Straftäter sind aus dem Gefängnis ausgebrochen.
"Unfortunately, I have other plans.",Leider habe ich schon etwas anderes vor.
"Unfortunately, that rumor is true.",Leider stimmt dieses Gerücht.
Wait a minute. I'll fetch a towel.,Warte kurz. Ich hole ein Handtuch.
Was it Tom that told you I'd come?,"War es Tom, der dir sagte, ich käme?"
Was it cloudy in Boston yesterday?,War es in Boston gestern bewölkt?
Watch out! This monkey is vicious.,Pass auf! Dieser Affe ist bösartig.
We all live in the same dormitory.,Wir wohnen alle in demselben Studentenwohnheim.
We always want what we don't have.,"Wir wollen immer das, was wir nicht haben."
We are in part responsible for it.,Dafür sind wir teilweise verantwortlich.
We arrived at the station at five.,Wir kamen um fünf am Bahnhof an.
We can meet next week if you want.,"Wir können uns nächste Woche treffen, wenn du willst."
We can't afford any more mistakes.,Noch mehr Fehler können wir uns nicht erlauben.
We can't let Tom get away with it.,Wir dürfen Tom das nicht durchgehen lassen.
We can't let Tom out of our sight.,Wir können Tom nicht aus den Augen lassen.
We chose a hotel near the museums.,Wir suchten uns ein Hotel nahe der Museen aus.
We climbed to the top of Mt. Fuji.,Wir erklommen den Gipfel des Berges Fuji.
We couldn't find the key anywhere.,Wir konnten den Schlüssel nirgends finden.
We didn't need to call the doctor.,Wir mussten den Arzt nicht rufen.
We didn't understand the question.,Wir verstanden die Frage nicht.
We don't have time to do that now.,Wir haben jetzt keine Zeit dafür.
We don't want to start any rumors.,Wir wollen keine Gerüchte in die Welt setzen.
We explained the situation to Tom.,Wir erklärten Tom die Situation.
We finally got rid of our old car.,Endlich sind wir unser altes Auto losgeworden.
We had few sunny days this summer.,Wir hatten diesen Sommer wenige Sonnentage.
We had to learn the poem by heart.,Wir mussten das Gedicht auswendig lernen.
We have a 20% share of the market.,Wir haben einen Marktanteil von 20 %.
We have a French test next Monday.,Am Montag haben wir einen Französischtest.
We have a lot of snow in February.,Wir haben eine Menge Schnee im Februar.
We have a lot of work to do today.,Wir haben heute eine Menge Arbeit.
We have lots of catching up to do.,Wir haben eine Menge aufzuholen.
We have quite a lot of work to do.,Wir haben ziemlich viel zu tun.
We have to learn the right things.,Wir müssen das Richtige lernen.
We have to stop meeting like this.,"Wir müssen aufhören, uns auf solche Weise zu treffen."
We haven't done anything all week.,Die ganze Woche über haben wir nichts getan.
We live in the center of the city.,Wir wohnen in der Innenstadt.
We lost sight of her in the crowd.,Wir haben sie in der Menschenmenge aus den Augen verloren.
We must ask the bank for the loan.,Wir müssen die Bank um ein Darlehen bitten.
We must follow their instructions.,Wir müssen ihre Anweisungen befolgen.
We need to consider other options.,Wir müssen andere Möglichkeiten in Betracht ziehen.
We need to repair this roof again.,Das Dach müssen wir wieder reparieren.
We only had three customers today.,Wir hatten heute nur drei Kunden.
We really need to talk to Tom now.,Wir müssten jetzt wirklich mal mit Tom sprechen.
We saw cows grazing in the meadow.,Wir sahen Milchkühe auf der Weide Gras fressen.
We should discuss this in private.,Wir sollten das im Privaten besprechen.
We should've gone there ourselves.,Wir hätten selbst hingehen sollen.
We should've stayed home with Tom.,Wir hätten zu Hause bei Tom bleiben sollen.
We still have a lot to talk about.,Wir haben noch eine Menge zu bereden.
We stood talking for half an hour.,Wir standen eine halbe Stunde da und schwatzten.
We thought you were untrustworthy.,Wir hielten dich für nicht vertrauenswürdig.
We waited but he failed to arrive.,"Wir haben gewartet, aber er ist nicht gekommen."
We want to talk to you about that.,Wir wollen mit dir darüber sprechen.
We went into the vegetable garden.,Wir gingen in den Gemüsegarten.
We were caught in a vicious cycle.,Wir befanden uns in einem Teufelskreis.
We were waiting with bated breath.,Wir warteten mit angehaltenem Atem.
We weren't kept waiting very long.,Lange ließ man uns nicht warten.
We will vote to decide the winner.,"Wir stimmen ab, um den Sieger zu ermitteln."
We'd like to have a word with Tom.,Wir möchten mit Tom sprechen.
We'd like you to join our company.,"Es würde uns gefallen, wenn ihr euch uns anschließt."
We'll all miss you when you leave.,"Du wirst uns allen fehlen, wenn du fortgehst."
We'll be here for only a few days.,Wir sind nur ein paar Tage lang hier.
We'll eat lunch together at 12:30.,Wir essen um halb eins gemeinsam zu Mittag.
We'll never live this fiasco down.,Wir werden über dieses Fiasko nicht hinwegkommen.
We're coming to the end of an era.,Wir erreichen das Ende einer Ära.
We're junior high school students.,Wir sind Mittelstufenschüler.
We're keeping our fingers crossed.,Wir drücken die Daumen.
We're meeting at my place at 2:30.,Wir treffen uns um halb drei bei mir.
We're not the only Canadians here.,Wir sind hier nicht die einzigen Kanadier.
We're partly responsible for that.,Wir sind teilweise dafür verantwortlich.
We're sorry for any inconvenience.,Wir bitten jegliche Unannehmlichkeit zu entschuldigen.
We're trying to get a hold of Tom.,"Wir versuchen, Tom zu fassen zu kriegen."
We're very happy with the results.,Wir sind sehr zufrieden mit den Ergebnissen.
We've enjoyed ourselves immensely.,Wir haben uns königlich amüsiert.
We've got no more than three days.,Uns stehen nicht mehr als drei Tage zur Verfügung.
We've had a lot of rain this year.,Wir haben dieses Jahr viel Regen gehabt.
We've heard those promises before.,Wir haben diese Versprechungen schon einmal gehört.
We've taken very good care of Tom.,Wir haben uns sehr gut um Tom gekümmert.
Were you expecting something else?,Habt ihr etwas anderes erwartet?
Were you in Australia last summer?,Wart ihr letzten Sommer in Australien?
What I like is her way of talking.,Was ich mag ist ihre Art zu reden.
What Tom does is his own business.,"Was Tom tut, geht nur ihn etwas an."
What about having fish for dinner?,Wie wäre es mit Fisch zum Abendessen?
What are we going to do with that?,Was machen wir damit?
What are you doing tomorrow night?,Was macht ihr morgen Abend?
What are you really worried about?,Worüber machst du dir wirklich Sorgen?
What did Tom tell Mary about John?,Was hat Tom Maria über Johannes gesagt?
What did you do yesterday morning?,Was hast du gestern Morgen gemacht?
What did you say these are called?,"Wie, sagtest du, nenne sich das?"
What did you think of Tom's house?,Wie fanden Sie Toms Haus?
What did you want to see me about?,Warum wolltest du mich sehen?
What do you do in your spare time?,Was machen Sie in Ihrer Freizeit?
What do you like to cook the most?,Was kochst du am allerliebsten?
What do you like to do on Sundays?,Was machst du an Sonntagen gerne?
What do you like to eat for lunch?,Was möchtest du zu Mittag essen?
What do you really know about Tom?,Was wissen Sie wirklich über Tom?
What do you say we go to my house?,"Was haltet ihr davon, zu mir nach Hause zu gehen?"
What do you think Tom has in mind?,"Was glaubt ihr, was Tom vorhat?"
What do you think about this plan?,Was hältst du von diesem Plan?
What do you think of this sweater?,Wie findest du diesen Pulli?
What do you think this is made of?,"Woraus, denken Sie, ist das hier gemacht?"
What do you usually eat for lunch?,Was isst du mittags gewöhnlich?
What do you want me to do exactly?,Was genau soll ich tun?
What do you want to know that for?,Wozu willst du das wissen?
What does Tom want to say to Mary?,Was möchte Tom Maria sagen?
What does that have to do with it?,Was hat das damit zu tun?
What does this have to do with me?,Was hat das mit mir zu tun?
What else do you need to do today?,Was musst du heute noch erledigen?
What game do you want to play now?,Welches Spiel möchtest du jetzt spielen?
What happened? Why are you crying?,Was ist denn los? Warum weinst du?
What have you done with the books?,Was hast du mit den Büchern gemacht?
What is it you want to sell to us?,Was möchtest du uns verkaufen?
What kind of book are you reading?,Was für ein Buch liest du da?
What nonsense are you talking now?,Was redest du denn jetzt für einen Blödsinn?
What should I eat for lunch today?,Was soll ich heute zu Mittag essen?
What time do you get out of class?,Wann ist die Schule aus?
What time does the next bus leave?,Wann fährt der nächste Bus?
What triggers your asthma attacks?,Wodurch werden Ihre Asthmaattacken ausgelöst?
What were Tom and Mary doing here?,Was haben Tom und Maria denn hier gemacht?
What will you take for this chair?,Was willst du für diesen Stuhl haben?
What would you like for breakfast?,Was möchtest du zum Frühstück essen?
What you said made everyone angry.,"Was du sagtest, verärgerte alle."
What you're doing is unforgivable.,"Was du tust, ist unverzeihbar."
What you're saying makes no sense.,"Was ihr sagt, ergibt keinen Sinn."
What'll you do after you graduate?,Was tust du nach deinem Schlussexamen?
What're you going to do on Friday?,Was machst du am Freitag?
What're you going to do with that?,Was wirst du damit machen?
What's my bank balance this month?,Wie hoch ist diesen Monat mein Kontostand?
What's the meaning of this phrase?,Was bedeutet dieser Satz?
What's the point of your question?,Worauf zielt deine Frage ab?
What's the weather like in Boston?,Wie ist das Wetter in Boston?
What's your favorite action movie?,Was ist dein Lieblingsactionfilm?
What's your favorite breed of dog?,Was ist deine liebste Hunderasse?
What's your favorite concert hall?,In welcher Konzerthalle sind Sie am liebsten?
What's your favorite kind of food?,Was ist euer Lieblingsessen?
What's your favorite way to relax?,Was ist deine liebste Entspannungsmethode?
What's your relationship with Tom?,In welcher Beziehung stehst du zu Tom?
"Whatever you do, take an umbrella.",Nimm auf jeden Fall einen Schirm mit!
When are you going to Tom's place?,Wann fährst du zu Tom?
When are you going to get married?,Wann wirst du heiraten?
When did you go to bed last night?,Wann bist du gestern zu Bett gegangen?
When did you receive the telegram?,Wann haben Sie das Telegramm empfangen?
When did you start studying Latin?,Wann haben Sie angefangen Latein zu lernen?
"When ice melts, it becomes liquid.","Wenn Eis schmilzt, wird es flüssig."
"When in Rome, do as the Romans do.",Andere Länder; andere Sitten.
"When she heard it, she just cried.","Als sie das hörte, weinte sie einfach."
When was the last time you shaved?,Wann haben Sie sich das letzte Mal rasiert?
When were you planning to tell me?,Wann wolltest du es mir sagen?
When will that novel be published?,Wann wird dieser Roman herausgegeben?
"When you're done, open the window.","Wenn du fertig bist, öffne das Fenster!"
Where are the bags from Flight 57?,Wo ist das Gepäck von Flug 57?
Where can I get in touch with you?,Wo kann ich mit dir in Kontakt kommen?
Where did Tom go for spring break?,Wo hat Tom seinen Frühjahrsurlaub verbracht?
Where did you have your suit made?,Wo hast du deinen Anzug machen lassen?
Where did you pick up that accent?,Wo hast du dir denn die Aussprache angeeignet?
Where did you spend your vacation?,Wo hast du deinen Urlaub verbracht?
Where did you take your boots off?,Wo haben Sie Ihre Stiefel ausgezogen?
Where did you take your socks off?,Wo hast du deine Socken ausgezogen?
Where do you know each other from?,Von wo kennen Sie sich?
Where do you think I should start?,"Wo, meinen Sie, soll ich anfangen?"
Where do you think the path leads?,"Wohin glaubt ihr, dass der Pfad führt?"
Where have you been all this time?,Wo bist du die ganze Zeit gewesen?
Where is the source of this river?,Wo ist die Quelle dieses Flusses?
Where will you be on October 20th?,Wo seid ihr am 20. Oktober?
Where's the nearest train station?,Wo ist der nächste Bahnhof?
Which CD do you want to listen to?,Welche CD willst du hören?
Which flower do you like the most?,Welche Blume gefällt Ihnen am besten?
Which languages are you fluent in?,Welche Sprachen sprichst du fließend?
Which students answered correctly?,Welche Studenten haben richtig geantwortet?
Who do you go to the library with?,Mit wem gehst du in die Bibliothek?
Who do you think broke the window?,"Wer, denkt ihr, hat das Fenster eingeschlagen?"
Who is it that you're working for?,Für wen arbeitest du?
Who is the girl in the pink dress?,Wer ist das Mädchen in dem rosa Kleid?
Who is the wisest person you know?,"Wer ist die klügste Person, die Sie kennen?"
Who was sent to save the princess?,"Wer wurde ausgesandt, dass er die Prinzessin rette?"
Who was your first French teacher?,Wer war dein erster Französischlehrer?
Who was your first French teacher?,Wer war deine erste Französischlehrerin?
"Who's more talkative, Tom or Mary?",Wer redet mehr? Tom oder Maria?
Who's the woman in the brown coat?,Wer ist die Frau mit dem braunen Mantel?
Why are these two always fighting?,Warum streiten sich die beiden ständig?
Why are you always so mean to Tom?,Warum sind Sie immer so gemein zu Tom?
Why are you not staying for lunch?,Warum bleibt ihr nicht zum Mittagessen?
Why are you not telling the truth?,Warum sagt ihr nicht die Wahrheit?
Why are you so obsessed with cars?,Warum sind Sie so besessen von Autos?
Why are you watching this garbage?,Warum siehst du dir diesen Quatsch an?
Why can't we just leave right now?,Warum können wir nicht einfach sofort gehen?
Why did Tom go to the supermarket?,Warum ging Tom zum Supermarkt?
Why did Tom want you to come here?,"Warum wollte Tom, dass ihr kämet?"
Why did you start learning French?,"Warum haben Sie angefangen, Französisch zu lernen?"
Why didn't I think of that before?,Warum habe ich daran nicht eher gedacht?
Why didn't you call me last night?,Warum haben Sie mich gestern Abend nicht angerufen?
Why didn't you tell me about that?,Warum hast du mir nichts davon gesagt?
Why do I have to give this to you?,Warum muss ich dir das geben?
Why do you have to be so dramatic?,Warum musst du so dramatisieren?
Why do you want to become a nurse?,Warum wollen Sie Krankenschwester werden?
Why do you want to do that anyway?,Warum willst du das überhaupt machen?
Why does Tom need another bicycle?,Warum braucht Tom ein weiteres Fahrrad?
Why does it look like that to you?,Warum scheint es euch so?
Why does this always happen to me?,Warum passiert mir das immer?
Why don't we all get back to work?,Gehen wir doch alle wieder an die Arbeit!
Why don't we go out the back door?,Gehen wir doch hinten raus!
Why don't we hide in the basement?,Verstecken wir uns doch im Keller!
Why don't you clean your room now?,Räume dein Zimmer doch jetzt gleich auf!
Why don't you give it another try?,Warum versuchst du es nicht noch einmal?
Why don't you have any clothes on?,Warum bist du unbekleidet?
Why don't you put some clothes on?,Warum ziehst du dir nicht etwas an?
Why don't you want to eat with us?,Warum willst du nicht mit uns essen?
Why don't you wear summer clothes?,Wieso trägst du keine Sommerkleidung?
Why haven't you told your parents?,Warum habt ihr euren Eltern nichts gesagt?
Why is it that you're always late?,Warum kommt ihr immer zu spät?
Why is no one visiting my website?,Warum besucht niemand meinen Netzplatz?
Why is nobody visiting my website?,Warum besucht niemand meine Website?
Why were you in that neighborhood?,Warum warst du in der Gegend?
Why will you not listen to reason?,Warum willst du nicht auf die Stimme der Vernunft hören?
Why won't you just leave me alone?,Warum lässt du mich nicht einfach in Ruhe.
Why would anyone want to kill Tom?,Warum sollte jemand Tom umbringen wollen?
Will the weather be good tomorrow?,Gibt es morgen schönes Wetter?
Will you help me unload the truck?,"Hilfst du mir, den Lkw auszuladen?"
Will you please lend me a stapler?,Könntest du mir bitte einen Hefter leihen?
Women are better at this than men.,Frauen können das besser als Männer.
Work doesn't always begin at nine.,Die Arbeit beginnt nicht immer um neun.
Would Tom really buy that for you?,Würde Tom Ihnen das wirklich kaufen?
Would you care for a piece of pie?,Hättest du Appetit auf ein Stück Kuchen?
Would you give me a cup of coffee?,Würden Sie mir bitte eine Tasse Kaffee geben?
Would you hand me the screwdriver?,Können Sie mir mal den Schraubenzieher geben?
Would you like another cup of tea?,Wollen Sie noch eine Tasse Tee?
Would you like some tea or coffee?,Hätten Sie gerne etwas Tee oder Kaffee?
Would you like something to drink?,Möchtest du was zum Trinken?
Would you like to leave a message?,Möchten Sie eine Nachricht hinterlassen?
Would you mind opening the window?,"Würde es dich stören, das Fenster zu öffnen?"
Would you mind opening the window?,Kannst du mal bitte das Fenster aufmachen?
Would you mind opening the window?,"Wären Sie so freundlich, das Fenster zu öffnen?"
Would you please lower your voice?,Würdest du bitte leiser sprechen?
Would you please lower your voice?,Würdest du bitte deine Stimme senken?
Would you please turn down the TV?,Könntest du bitte den Fernseher leiser stellen?
Would you tell me when to get off?,"Könnten Sie mir sagen, wann ich auszusteigen habe?"
Write it down so you don't forget.,"Schreib es dir auf, damit du es nicht vergisst!"
Write it down so you won't forget.,"Schreiben Sie es sich auf, damit Sie es nicht vergessen!"
